id|name|status|sources|firstSeen|lastSeen|reason|evidenceUrl|reviewedAt
3952820|机不择食|pending|funny-online-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/3952820/|
3151140|积木爆射英雄|pending|funny-online-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/3151140/|
3826670|基机受难记 (Flipping is Hard)|pending|funny-online-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/3826670/|
2622000|吉星派对|pending|party-top-sellers|2026-09-23|2026-09-23||https://store.steampowered.com/app/2622000/|
2483190|极限竞速：地平线 6|pending|funny-multiplayer-new;funny-online-new|2026-09-23|2026-09-23||https://store.steampowered.com/app/2483190/|
1732430|家有恶邻|pending|party-top-sellers|2026-09-23|2026-09-23||https://store.steampowered.com/app/1732430/|
5041530|捡起你的玩具来|pending|party-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/5041530/|
2661300|禁闭求生2 Grounded 2|pending|horror-online-new|2026-09-23|2026-09-23||https://store.steampowered.com/app/2661300/|
4193590|救援被拒 - Salvation Denied|pending|funny-online-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/4193590/|
3500460|鲲歌|pending|funny-online-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/3500460/|
3412160|拉斯维加斯模拟器|pending|party-top-sellers|2026-09-23|2026-09-23||https://store.steampowered.com/app/3412160/|
4084710|雷曼：传奇再叙|pending|party-top-sellers;party-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/4084710/|
381210|黎明杀机|pending|horror-online-new|2026-09-23|2026-09-23||https://store.steampowered.com/app/381210/|
2820700|礼帽大乱斗|pending|local-party-top;party-top-sellers|2026-09-23|2026-09-23||https://store.steampowered.com/app/2820700/|
3569420|链兽角斗|pending|funny-online-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/3569420/|
594650|猎杀：对决 1896|pending|horror-online-new|2026-09-23|2026-09-23||https://store.steampowered.com/app/594650/|
2947650|乱剪一通：总监模拟器|pending|local-party-top;party-top-sellers|2026-09-23|2026-09-23||https://store.steampowered.com/app/2947650/|
4755250|罗慕路斯|pending|funny-online-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/4755250/|
3065360|忙作一团|pending|local-party-top;party-top-sellers|2026-09-23|2026-09-23||https://store.steampowered.com/app/3065360/|
4954970|没有尸体，就没有问题！|pending|party-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/4954970/|
2572560|萌宠拆拆乐|pending|local-party-top;party-top-sellers|2026-09-23|2026-09-23||https://store.steampowered.com/app/2572560/|
4188260|喵！一起摸鱼吧~|pending|funny-online-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/4188260/|
3346460|摸鱼园丁|pending|funny-online-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/3346460/|
4660170|魔女杂货铺|pending|funny-online-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/4660170/|
4300540|魔王一行 (The Demon Party)|pending|party-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/4300540/|
3683770|奶茶店模拟器 - 重生之我在冰堡甜城当店长|pending|funny-multiplayer-new;funny-online-new|2026-09-23|2026-09-23||https://store.steampowered.com/app/3683770/|
4564150|碰瓷巨人团|pending|party-wishlist|2026-09-23|2026-09-23||https://store.steampowered.com/app/4564150/|
1951780|奇喵派对|pending|party-top-sellers|2026-09-23|2026-09-23||https://store.steampowered.com/app/1951780/|
